f_Hz,Sn_Hz^-1
3.2753493500183396e-05,1.608825256811424e-30
3.29426763456268e-05,1.55431867478583e-30
3.3132951903486055e-05,1.5016602994694777e-30
3.3324326485223535e-05,1.4507874268409413e-30
3.351680643875656e-05,1.4016394810361214e-30
3.371039814866751e-05,1.3541579421010155e-30
3.3905108036416105e-05,1.3082862761973376e-30
3.4100942560551895e-05,1.2639698681781769e-30
3.429790821692902e-05,1.2211559564527354e-30
3.449601153892112e-05,1.1797935700628767e-30
3.469525909763864e-05,1.1398334678959071e-30
3.4895657502146265e-05,1.1012280799615216e-30
3.5097213399682365e-05,1.0639314506624295e-30
3.5299933475879706e-05,1.0278991839911227e-30
3.550382445498672e-05,9.930883905875133e-31
3.570889310009109e-05,9.594576365939122e-31
3.5915146213343635e-05,9.269668942467041e-31
3.612259063618408e-05,8.95577494145441e-31
3.633123324956828e-05,8.65252079142506e-31
3.65410809741959e-05,8.359545597984385e-31
3.675214077074059e-05,8.076500713494835e-31
3.696441964008032e-05,7.803049321363186e-31
3.717792462352989e-05,7.538866034441012e-31
3.739266280307463e-05,7.283636507060111e-31
3.760864130160485e-05,7.037057060240746e-31
3.782586728315269e-05,6.798834319623158e-31
3.804434795312912e-05,6.568684865693138e-31
3.8264090558563617e-05,6.346334895881278e-31
3.848510238834386e-05,6.131519898135617e-31
3.870739077345816e-05,5.923984335575333e-31
3.8930963087238115e-05,5.7234813418516755e-31
3.915582674560336e-05,5.529772426850743e-31
3.938198920730781e-05,5.342627192387649e-31
3.960945797418655e-05,5.161823057553457e-31
3.9838240591405245e-05,4.987144993385537e-31
4.0068344647709924e-05,4.818385266546619e-31
4.029977777567888e-05,4.655343191705167e-31
4.053254765197611e-05,4.497824892322176e-31
4.07666619976054e-05,4.3456430695595725e-31
4.100212857816705e-05,4.198616779033023e-31
4.123895520411484e-05,4.056571215144493e-31
4.1477149731015736e-05,3.9193375027355115e-31
4.17167200598098e-05,3.7867524958142087e-31
4.195767413707293e-05,3.6586585831143453e-31
4.22000199552799e-05,3.5349035002558783e-31
4.2443765553069674e-05,3.4153401482817033e-31
4.268891901551232e-05,3.2998264183546114e-31
4.29354884743766e-05,3.188225022405644e-31
4.318348210840039e-05,3.080403329530796e-31
4.343290814356137e-05,2.9762332079420846e-31
4.368377485335012e-05,2.8755908722833856e-31
4.393609055904483e-05,2.778356736129345e-31
4.4189863629986705e-05,2.6844152694916816e-31
4.4445102483858285e-05,2.5936548611620083e-31
4.470181558696193e-05,2.505967685728026e-31
4.496001145450139e-05,2.4212495751033604e-31
4.521969865086361e-05,2.339399894418778e-31
4.5480885789903075e-05,2.260321422125927e-31
4.574358153522784e-05,2.1839202341709063e-31
4.600779460048622e-05,2.1101055920997503e-31
4.627353374965658e-05,2.038789834961635e-31
4.654080779733731e-05,1.96988827488173e-31
4.680962560903992e-05,1.903319096178243e-31
4.707999610148248e-05,1.8390032579041405e-31
4.7351928242885654e-05,1.7768643996966344e-31
4.7625431053270476e-05,1.7168287508223977e-31
4.790051360475687e-05,1.6588250423102281e-31
4.8177185021865325e-05,1.602784422065787e-31
4.8455454481818935e-05,1.5486403728678136e-31
4.873533121484802e-05,1.4963286331474813e-31
4.901682450449665e-05,1.4457871204566034e-31
4.9299943687929886e-05,1.3969558575335871e-31
4.9584698156244234e-05,1.3497769008785092e-31
4.987109735477843e-05,1.3041942717526367e-31
5.015915078342748e-05,1.2601538895195937e-31
5.044886799695699e-05,1.2176035072491532e-31
5.0740258605320947e-05,1.1764926495063744e-31
5.1033332273979684e-05,1.1367725522523525e-31
5.1328098724220876e-05,1.0983961047845161e-31
5.162456773348225e-05,1.061317793647408e-31
5.192274913567521e-05,1.0254936484471649e-31
5.222265282151184e-05,9.908811895047497e-32
5.2524288738832276e-05,9.574393772859035e-32
5.282766689293496e-05,9.251285635471897e-32
5.3132797346908855e-05,8.939104441399864e-32
5.3439690221966477e-05,8.637480134162874e-32
5.374835569778051e-05,8.346055201816143e-32
5.405880401282055e-05,8.06448425142908e-32
5.437104546469363e-05,7.79243359800266e-32
5.468509041048491e-05,7.529580867338766e-32
5.5000949267102066e-05,7.275614612384513e-32
5.531863251162011e-05,7.030233942597256e-32
5.563815068162918e-05,6.793148165885836e-32
5.5959514375584475e-05,6.564076442702187e-32
5.628273425315696e-05,6.342747451871703e-32
5.66078210355879e-05,6.128899067761762e-32
