f_Hz,Sn_1_per_Hz,model
0.0002,3.972350159898276e-35,RCL2019_10yr_inst-only
0.0002008539633522871,3.879537294110014e-35,RCL2019_10yr_inst-only
0.00020171157297160918,3.788941240503717e-35,RCL2019_10yr_inst-only
0.00020257284442685885,3.7005081713795766e-35,RCL2019_10yr_inst-only
0.00020343779335340407,3.6141855817576074e-35,RCL2019_10yr_inst-only
0.00020430643545337384,3.52992225659833e-35,RCL2019_10yr_inst-only
0.00020517878649594157,3.447668238840914e-35,RCL2019_10yr_inst-only
0.00020605486231761288,3.3673747982376464e-35,RCL2019_10yr_inst-only
0.00020693467882251188,3.288994400965384e-35,RCL2019_10yr_inst-only
0.00020781825198267027,3.2124806799941433e-35,RCL2019_10yr_inst-only
0.00020870559783831805,3.137788406193967e-35,RCL2019_10yr_inst-only
0.00020959673249817327,3.064873460161856e-35,RCL2019_10yr_inst-only
0.00021049167213973605,2.993692804750284e-35,RCL2019_10yr_inst-only
0.00021139043300958063,2.9242044582802663e-35,RCL2019_10yr_inst-only
0.000212293031423652,2.8563674684213135e-35,RCL2019_10yr_inst-only
0.00021319948376756064,2.7901418867221383e-35,RCL2019_10yr_inst-only
0.0002141098064968805,2.725488743775409e-35,RCL2019_10yr_inst-only
0.00021502401613744855,2.662370025000815e-35,RCL2019_10yr_inst-only
0.00021594212928566315,2.6007486470312297e-35,RCL2019_10yr_inst-only
0.0002168641626087871,2.5405884346864115e-35,RCL2019_10yr_inst-only
0.00021779013284524851,2.481854098520073e-35,RCL2019_10yr_inst-only
0.0002187200568049464,2.424511212925492e-35,RCL2019_10yr_inst-only
0.00021965395136955423,2.3685261947861613e-35,RCL2019_10yr_inst-only
0.00022059183349282724,2.31386628265747e-35,RCL2019_10yr_inst-only
0.00022153372020091065,2.2604995164663355e-35,RCL2019_10yr_inst-only
0.0002224796285926474,2.208394717715901e-35,RCL2019_10yr_inst-only
0.00022342957583989018,2.157521470182415e-35,RCL2019_10yr_inst-only
0.00022438357918781152,2.107850101092351e-35,RCL2019_10yr_inst-only
0.00022534165595521847,2.0593516627673865e-35,RCL2019_10yr_inst-only
0.00022630382353486567,2.0119979147259048e-35,RCL2019_10yr_inst-only
0.0002272700993937715,1.965761306229357e-35,RCL2019_10yr_inst-only
0.0002282405010735361,1.9206149592624302e-35,RCL2019_10yr_inst-only
0.00022921504619065805,1.8765326519363746e-35,RCL2019_10yr_inst-only
0.00023019375243685608,1.8334888023045656e-35,RCL2019_10yr_inst-only
0.00023117663757938844,1.7914584525803869e-35,RCL2019_10yr_inst-only
0.00023216371946137716,1.7504172537470417e-35,RCL2019_10yr_inst-only
0.00023315501600213053,1.7103414505498157e-35,RCL2019_10yr_inst-only
0.0002341505451974689,1.6712078668610013e-35,RCL2019_10yr_inst-only
0.0002351503251200523,1.632993891408265e-35,RCL2019_10yr_inst-only
0.00023615437391970662,1.5956774638575033e-35,RCL2019_10yr_inst-only
0.00023716270982375524,1.5592370612410663e-35,RCL2019_10yr_inst-only
0.00023817535113734788,1.523651684723059e-35,RCL2019_10yr_inst-only
0.00023919231624379487,1.4889008466929837e-35,RCL2019_10yr_inst-only
0.00024021362360489916,1.4549645581798197e-35,RCL2019_10yr_inst-only
0.00024123929176129224,1.4218233165783236e-35,RCL2019_10yr_inst-only
0.0002422693393327714,1.3894580936798566e-35,RCL2019_10yr_inst-only
0.00024330378501863606,1.3578503240001977e-35,RCL2019_10yr_inst-only
0.0002443426475980293,1.3269818933967665e-35,RCL2019_10yr_inst-only
0.0002453859459302766,1.2968351279682506e-35,RCL2019_10yr_inst-only
