f_Hz,Sn_Hz^-1
2.4699965586476436e-05,8.719120574979723e-30
2.4842631582455694e-05,8.423412757369829e-30
2.4986121611421404e-05,8.137738927655717e-30
2.5130440432954662e-05,7.861758498299834e-30
2.5275592834127557e-05,7.595142445000072e-30
2.542158362966211e-05,7.337572914050501e-30
2.5568417662090134e-05,7.088742843035782e-30
2.5716099801913504e-05,6.848355594407424e-30
2.5864634947766126e-05,6.616124601501937e-30
2.6014028026576e-05,6.39177302658133e-30
2.6164283993729082e-05,6.1750334304847095e-30
2.6315407833233264e-05,5.965647453499377e-30
2.646740455788388e-05,5.763365507068208e-30
2.6620279209430108e-05,5.5679464759663645e-30
2.6774036858741866e-05,5.37915743059221e-30
2.6928682605978422e-05,5.1967733490273716e-30
2.7084221580757127e-05,5.0205768485362926e-30
2.724065894232403e-05,4.850357926182404e-30
2.73979998797246e-05,4.685913708253598e-30
2.7556249611976015e-05,4.5270482081959545e-30
2.771541338824047e-05,4.3735720927676354e-30
2.7875496487998863e-05,4.2253024561342356e-30
2.8036504221226397e-05,4.082062601634501e-30
2.8198441928568244e-05,3.943681830957654e-30
2.836131498151716e-05,3.809995240478892e-30
2.8525128782591235e-05,3.680843524511604e-30
2.8689888765513302e-05,3.5560727852400824e-30
2.8855600395391326e-05,3.435534349106463e-30
2.9022269168899274e-05,3.319084589433073e-30
2.9189900614459916e-05,3.206584755067337e-30
2.935850029242773e-05,3.097900804846082e-30
2.9528073795273815e-05,2.9929032476802523e-30
2.9698626747770974e-05,2.8914669880704262e-30
2.987016480718047e-05,2.793471176867716e-30
3.0042693663439857e-05,2.6987990671023423e-30
3.0216219039351297e-05,2.6073378747080854e-30
3.039074669077186e-05,2.51897864397553e-30
3.056628240680404e-05,2.4336161175744957e-30
3.074283200998794e-05,2.3511486109896785e-30
3.092040135649462e-05,2.2714778912199728e-30
3.1098996336319864e-05,2.1945090595969548e-30
3.127862287348013e-05,2.1201504385819132e-30
3.145928692620846e-05,2.0483134624072332e-30
3.164099448715268e-05,1.9789125714306586e-30
3.182375158357365e-05,1.9118651100772163e-30
3.200756427754569e-05,1.847091228246174e-30
3.2192438666157245e-05,1.7845137860660768e-30
3.237838088171326e-05,1.7240582618836237e-30
3.256539709193886e-05,1.6656526633767526e-30
3.2753493500183396e-05,1.6092274416861092e-30
3.29426763456268e-05,1.5547154084618122e-30
3.3132951903486055e-05,1.5020516557271769e-30
3.3324326485223535e-05,1.4511734784632157e-30
3.351680643875656e-05,1.4020202998217442e-30
3.371039814866751e-05,1.3545335988779687e-30
3.3905108036416105e-05,1.3086568408359267e-30
3.4100942560551895e-05,1.2643354096039688e-30
3.429790821692902e-05,1.221516542659321e-30
3.449601153892112e-05,1.1801492681244614e-30
3.469525909763864e-05,1.140184343979732e-30
3.4895657502146265e-05,1.1015741993401162e-30
3.5097213399682365e-05,1.0642728777256991e-30
3.5299933475879706e-05,1.0282359822582736e-30
3.550382445498672e-05,9.934206227188153e-31
3.570889310009109e-05,9.597853644023038e-31
3.5915146213343635e-05,9.272901787092404e-31
3.612259063618408e-05,8.958963954145871e-31
3.633123324956828e-05,8.65566656557278e-31
3.65410809741959e-05,8.36264871895394e-31
3.675214077074059e-05,8.07956175873564e-31
3.696441964008032e-05,7.806068860515449e-31
3.717792462352989e-05,7.5418446294412515e-31
3.739266280307463e-05,7.2865747122452445e-31
3.760864130160485e-05,7.039955422450775e-31
3.782586728315269e-05,6.801693378302463e-31
3.804434795312912e-05,6.571505152990414e-31
3.8264090558563617e-05,6.34911693674811e-31
3.848510238834386e-05,6.134264210423731e-31
3.870739077345816e-05,5.926691430132536e-31
3.8930963087238115e-05,5.726151722616496e-31
3.915582674560336e-05,5.5324065909457925e-31
3.938198920730781e-05,5.345225630211728e-31
3.960945797418655e-05,5.164386252872413e-31
3.9838240591405245e-05,4.989673423421896e-31
4.0068344647709924e-05,4.820879402068012e-31
4.029977777567888e-05,4.657803497111554e-31
4.053254765197611e-05,4.5002518257319e-31
4.07666619976054e-05,4.348037082894247e-31
4.100212857816705e-05,4.200978318101274e-31
4.123895520411484e-05,4.058900719724573e-31
4.1477149731015736e-05,3.921635406656792e-31
4.17167200598098e-05,3.7890192270375796e-31
4.195767413707293e-05,3.6608945638115225e-31
4.22000199552799e-05,3.5371091468876446e-31
4.2443765553069674e-05,3.417515871675089e-31
4.268891901551232e-05,3.301972623779037e-31
4.29354884743766e-05,3.1903421096480302e-31
4.318348210840039e-05,3.0824916929696633e-31
4.343290814356137e-05,2.9782932366206487e-31
4.368377485335012e-05,2.877622949981668e-31
4.393609055904483e-05,2.780361241435311e-31
4.4189863629986705e-05,2.6863925758714125e-31
4.4445102483858285e-05,2.5956053370289317e-31
4.470181558696193e-05,2.507891694511208e-31
4.496001145450139e-05,2.4231474753148756e-31
4.521969865086361e-05,2.341272039720171e-31
4.5480885789903075e-05,2.262168161393775e-31
4.574358153522784e-05,2.1857419115614973e-31
4.600779460048622e-05,2.111902547112887e-31
4.627353374965658e-05,2.040562402503576e-31
4.654080779733731e-05,1.9716367853272843e-31
4.680962560903992e-05,1.9050438754320222e-31
4.707999610148248e-05,1.8407046274609855e-31
4.7351928242885654e-05,1.7785426767012256e-31
4.7625431053270476e-05,1.7184842481280607e-31
4.790051360475687e-05,1.6604580685369433e-31
4.8177185021865325e-05,1.6043952816574182e-31
4.8455454481818935e-05,1.5502293661485614e-31
4.873533121484802e-05,1.4978960563775752e-31
4.901682450449665e-05,1.447333265887242e-31
4.9299943687929886e-05,1.3984810134611344e-31
4.9584698156244234e-05,1.351281351697961e-31
4.987109735477843e-05,1.305678298010363e-31
5.015915078342748e-05,1.2616177679653703e-31
5.044886799695699e-05,1.219047510887489e-31
5.0740258605320947e-05,1.1779170476471462e-31
5.1033332273979684e-05,1.1381776105607558e-31
5.1328098724220876e-05,1.0997820853303405e-31
5.162456773348225e-05,1.062684954953648e-31
5.192274913567521e-05,1.026842245537973e-31
5.222265282151184e-05,9.922114739527424e-32
5.2524288738832276e-05,9.587515972588282e-32
5.282766689293496e-05,9.264229638539606e-32
5.3132797346908855e-05,8.951872662760993e-32
5.3439690221966477e-05,8.650074956086201e-32
5.374835569778051e-05,8.358478974326227e-32
5.405880401282055e-05,8.076739292742245e-32
5.437104546469363e-05,7.804522194957092e-32
5.468509041048491e-05,7.541505275818794e-32
5.5000949267102066e-05,7.287377057739166e-32
5.531863251162011e-05,7.041836620053163e-32
5.563815068162918e-05,6.80459324095454e-32
5.5959514375584475e-05,6.575366051581968e-32
5.628273425315696e-05,6.353883701843962e-32
5.66078210355879e-05,6.139884037582056e-32
5.693478550604366e-05,5.933113788689788e-32
5.726363850997374e-05,5.733328267813726e-32
5.7594390955470855e-05,5.540291079278015e-32
5.792705381363196e-05,5.353773837886236e-32
5.826163811892308e-05,5.173555897263469e-32
5.8598154969544416e-05,4.999424087416941e-32
5.893661552779937e-05,4.8311724612001773e-32
5.927703102046402e-05,4.6686020493805055e-32
5.961941273915982e-05,4.511520624016261e-32
5.996377204072855e-05,4.359742469862349e-32
6.031012034760816e-05,4.2130881635321915e-32
6.0658469148212616e-05,4.0713843601514126e-32
6.100882999731202e-05,3.934463587250666e-32
6.136121451641682e-05,3.802164045650263e-32
6.17156343941625e-05,3.6743294171008144e-32
6.20721013866976e-05,3.550808678449389e-32
6.24306273180741e-05,3.4314559221102407e-32
6.279122408063868e-05,3.3161301826265094e-32
6.315390363542825e-05,3.2046952691151216e-32
6.351867801256583e-05,3.0970196033964905e-32
6.38855593116599e-05,2.992976063615052e-32
6.42545597022062e-05,2.892441833164698e-32
6.462569142399045e-05,2.7952982547394676e-32
6.49989667874954e-05,2.7014306893345855e-32
6.537439817430813e-05,2.610728380031011e-32
6.575199803753178e-05,2.523084320400039e-32
6.613177890219758e-05,2.438395127372219e-32
6.651375336568135e-05,2.3565609184180796e-32
6.689793409812047e-05,2.2774851928953007e-32
6.728433384283451e-05,2.201074717420177e-32
6.76729654167483e-05,2.1272394151271267e-32
6.806384171081621e-05,2.0558922586845642e-32
6.845697569045078e-05,1.9869491669389948e-32
6.88523803959518e-05,1.920328905065018e-32
6.925006894293933e-05,1.8559529881016086e-32
6.965005452278913e-05,1.793745587760053e-32
7.005235040306923e-05,1.733633442392725e-32
7.04569699279812e-05,1.6755457700148948e-32
7.086392651880154e-05,1.619414184276671e-32
7.127323367432816e-05,1.5651726132842596e-32
7.168490497132681e-05,1.5127572211745582e-32
7.209895406498272e-05,1.4621063323490016e-32
7.251539468935248e-05,1.41316035827703e-32
7.293424065781998e-05,1.3658617267815357e-32
7.335550586355516e-05,1.3201548137222544e-32
7.377920427997371e-05,1.2759858769959093e-32
7.420534996120181e-05,1.2333029927741012e-32
7.463395704254126e-05,1.1920559939034863e-32
7.506503974093876e-05,1.152196410394507e-32
7.549861235545798e-05,1.1136774119279608e-32
7.593468926775283e-05,1.0764537523111004e-32
7.637328494254563e-05,1.0404817158167673e-32
7.68144139281059e-05,1.005719065342091e-32
7.725809085673338e-05,9.721249923246809e-33
7.770433044524385e-05,9.396600683568367e-33
7.815314749545617e-05,9.082861984402887e-33
7.860455689468456e-05,8.779665758254995e-33
7.905857361623111e-05,8.486656383821681e-33
7.951521271988373e-05,8.20349026448595e-33
7.997448935241442e-05,7.929835421101256e-33
8.043641874808295e-05,7.665371098578295e-33
8.090101622914111e-05,7.409787385809336e-33
8.136829720634132e-05,7.162784848475077e-33
8.183827717944845e-05,6.924074174298052e-33
8.231097173775265e-05,6.693375830321367e-33
8.278639656058789e-05,6.470419731802533e-33
8.326456741785082e-05,6.254944922331155e-33
8.374550017052435e-05,6.0466992647876005e-33
8.42292107712043e-05,5.845439142775801e-33
8.47157152646274e-05,5.650929172175692e-33
8.520502978820473e-05,5.462941922470275e-33
8.569717057255578e-05,5.281257647517861e-33
8.619215394204809e-05,5.105664025447115e-33
8.66899963153374e-05,4.9359559073675384e-33
8.719071420591362e-05,4.771935074594414e-33
8.769432422264742e-05,4.613410004101334e-33
8.820084307034158e-05,4.460195641919873e-33
8.871028755028572e-05,4.31211318421736e-33
8.922267456081227e-05,4.1689898657931056e-33
8.97380210978585e-05,4.0306587557399665e-33
9.025634425552893e-05,3.89695856003002e-33
9.0777661226663e-05,3.767733430788121e-33
9.130198930340576e-05,3.6428327820272595e-33
9.18293458777803e-05,3.522111111626843e-33
9.235974844226608e-05,3.405427829341294e-33
9.28932145903776e-05,3.292647090635696e-33
9.342976201724962e-05,3.183637636149691e-33
9.396940852022246e-05,3.078272636599998e-33
9.451217199943392e-05,2.976429542935967e-33
9.505807045841173e-05,2.8779899415712134e-33
9.560712200467121e-05,2.78283941451833e-33
9.615934485031658e-05,2.690867404260821e-33
9.671475731264365e-05,2.6019670832019492e-33
9.727337781474893e-05,2.516035227534582e-33
9.783522488613943e-05,2.4329720953830478e-33
9.840031716334782e-05,2.3526813090714433e-33
9.896867339055124e-05,2.2750697413788396e-33
9.95403124201916e-05,2.2000474056464566e-33
0.0001001152532136026,2.1275273496056046e-33
0.0001006935148416371,2.057425552801053e-33
0.00010127511648530081,1.9896608274872377e-33
0.00010186007743638809,1.9241547228800994e-33
0.0001024484170981219,1.8608314326505773e-33
0.00010304015498579751,1.799617705549956e-33
0.00010363531072742938,1.740442759060943e-33
0.00010423390406440324,1.6832381959717638e-33
0.0001048359548521296,1.6279379237745798e-33
0.00010544148306070337,1.5744780767920403e-33
0.00010605050877556598,1.522796940939897e-33
0.00010666305219817106,1.4728348810362081e-33
0.0001072791336466558,1.4245342705706925e-33
0.00010789877355651325,1.3778394238512527e-33
0.00010852199248127194,1.3326965304465978e-33
0.00010914881109317595,1.2890535918477111e-33
0.0001097792501838718,1.2468603602724885e-33
0.00011041333066509779,1.2060682795412828e-33
0.00011105107356937706,1.166630427953055e-33
0.0001116925000507166,1.1285014630942465e-33
0.00011233763138530723,1.0916375685151894e-33
0.00011298648897223066,1.0559964022104193e-33
0.0001136390943341687,1.0215370468420634e-33
0.00011429546911811735,9.88219961647125e-34
0.0001149556350961048,9.560069359716407e-34
0.00011561961416591321,9.248610443766352e-34
0.0001162874283518062,8.947466032625383e-34
0.00011695909980525784,8.656291289608085e-34
0.0001176346508056887,8.37475297242841e-34
0.00011831410376120421,8.102529041983512e-34
0.00011899748120933815,7.839308284367394e-34
0.00011968480581780029,7.584789945666667e-34
0.00012037610038522768,7.338683379105799e-34
0.00012107138784194222,7.10070770412258e-34
0.00012177069125070955,6.870591476971721e-34
0.00012247403380750543,6.648072372463889e-34
0.00012318143884228444,6.432896876465058e-34
0.0001238929298197541,6.224819988790666e-34
0.00012460853034015326,6.023604936143111e-34
0.00012532826414003422,5.829022894752581e-34
0.00012605215509305155,5.640852722391959e-34
0.0001267802272107522,5.458880699449906e-34
0.00012751250464337332,5.282900278753704e-34
0.0001282490116806428,5.112711843847059e-34
0.00012898977275258488,4.948122475435939e-34
0.00012973481243033088,4.788945725726082e-34
0.0001304841554269334,4.6350014003853025e-34
0.0001312378265981875,4.486115347871879e-34
0.00013199585094345346,4.342119255880795e-34
0.0001327582536064873,4.202850454665603e-34
0.0001335250598762743,4.068151727004327e-34
0.00013429629518786783,3.93787112458397e-34
0.00013507198512323324,3.8118617905865704e-34
0.00013585215541209574,3.689981788267051e-34
0.00013663683193279532,3.572093935319709e-34
0.00013742604071314326,3.458065643838294e-34
0.00013821980793128698,3.3477687656793857e-34
0.00013901815991657784,3.2410794430471055e-34
0.0001398211231504438,3.1378779641221945e-34
0.00014062872426726957,3.0380486235644977e-34
0.0001414409900552778,2.9414795877248166e-34
0.00014225794745741996,2.848062764405773e-34
0.00014307962357226794,2.7576936770188453e-34
0.00014390604565491438,2.6702713429880155e-34
0.00014473724111787632,2.5856981562569984e-34
0.00014557323753200372,2.5038797737610558e-34
0.00014641406262739574,2.4247250057290927e-34
0.00014725974429431838,2.348145709687101e-34
0.0001481103105841313,2.274056688037051e-34
0.00014896578971021753,2.2023755890909502e-34
0.0001498262100489194,2.1330228114429053e-34
0.00015069160014048012,2.0659214115664085e-34
0.00015156198868998937,2.0009970145279475e-34
0.00015243740456833752,1.93817772771122e-34
0.00015331787681317088,1.8773940574507772e-34
0.0001542034346298566,1.8185788284760824e-34
0.00015509410739245074,1.7616671060715156e-34
0.0001559899246446727,1.7065961208602585e-34
0.00015689091610088533,1.653305196123449e-34
0.00015779711164707987,1.601735677569004e-34
0.00015870854134186887,1.5518308654671e-34
0.0001596252354174811,1.5035359490727305e-34
0.00016054722428076614,1.4567979432576144e-34
0.00016147453851420203,1.411565627277174e-34
0.00016240720887691012,1.3677894856002395e-34
0.00016334526630567517,1.325421650731896e-34
0.00016428874191597105,1.2844158479621232e-34
0.00016523766700299444,1.2447273419750875e-34
0.0001661920730427006,1.2063128852564844e-34
0.0001671519916928493,1.169130668237879e-34
0.00016811745479405416,1.1331402711196552e-34
0.00016908849437083883,1.0983026173157583e-34
0.0001700651426326994,1.0645799284654932e-34
0.0001710474319751722,1.0319356809594952e-34
0.00017203539498090987,1.000334563928663e-34
0.00017302906442076004,9.69742438646847e-35
0.00017402847325485404,9.401262992993412e-35
0.00017503365463369965,9.114542350712466e-35
0.0001760446418992799,8.836953935111251e-35
0.00017706146858616093,8.568199451267877e-35
0.00017808416842260186,8.307990491718654e-35
0.0001791127753316762,8.056048205826953e-35
0.00018014732343239458,7.812102980269985e-35
0.0001811878470408383,7.575894130265834e-35
0.00018223438067129692,7.347169601180268e-35
0.00018328695903741253,7.125685680162327e-35
0.00018434561705333295,6.911206717470102e-35
0.00018541038983486751,6.703504857161181e-35
0.00018648131270065368,6.502359776830217e-35
0.00018755842117332782,6.307558436089888e-35
0.0001886417509807036,6.118894833499779e-35
0.0001897313380569572,5.93616977165847e-35
0.00019082721854381843,5.759190630183773e-35
0.00019192942879177162,5.58777114631469e-35
0.00019303800536125864,5.421731202879181e-35
0.00019415298502389376,5.260896623378205e-35
0.0001952744047636824,5.105098973947261e-35
0.00019640230177824812,4.954175371963112e-35
0.0001975367134800666,4.8079683010719194e-35
0.0001986776774977057,4.6663254324225624e-35
0.00019982523167707568,4.529099451895593e-35
0.00020097941408268194,4.3961478931268415e-35
0.00020214026299888963,4.2673329761292774e-35
0.00020330781693119268,4.142521451325548e-35
0.0002044821146074912,4.0215844488085123e-35
0.0002056631949793762,3.9043973326538275e-35
0.00020685109722342078,3.790839560114602e-35
0.00020804586074248168,3.6807945455333703e-35
0.00020924752516700352,3.574149528813343e-35
0.00021045613035633565,3.470795448294542e-35
0.0002116717164000531,3.370626817887335e-35
0.0002128943236192867,3.273541608319707e-35
0.00021412399256806068,3.1794411323599354e-35
0.00021536076403463685,3.088229933881052e-35
0.0002166046790428698,2.999815680637466e-35
0.00021785577885356477,2.91410906062957e-35
0.0002191141049658486,2.831023681934823e-35
0.00022037969911854519,2.750475975889442e-35
0.00022165260329156013,2.672385103507616e-35
0.00022293285970727348,2.596672865029585e-35
0.0002242205108319392,2.523263612493373e-35
0.00022551559937709618,2.4520841652283646e-35
0.00022681816830098176,2.3830637281729576e-35
0.00022812826080995926,2.3161338129208278e-35
0.00022944592035995022,2.2512281614045799e-35
0.00023077119065787488,2.1882826721280189e-35
0.00023210411566310449,2.127235328861245e-35
0.00023344473958891596,2.0680261317163276e-35
0.00023479310690396218,2.0105970305229712e-35
0.00023614926233374352,1.954891860427622e-35
0.00023751325086209397,1.9008562796407658e-35
0.0002388851177326723,1.8484377092607248e-35
0.00024026490845046187,1.7975852751040978e-35
0.00024165266878328268,1.748249751475378e-35
0.000243048444763306,1.70038350681104e-35
0.00024445228268858417,1.6539404511347478e-35
0.0002458642291245848,1.6088759852633082e-35
0.0002472843309057359,1.565146951704453e-35
0.0002487126351369793,1.5227115871897622e-35
0.0002501491891953322,1.4815294767879513e-35
0.00025159404073146134,1.441561509545371e-35
0.00025304723767125974,1.4027698356028463e-35
0.0002545088282174397,1.3651178247389838e-35
0.00025597886085113004,1.3285700262924747e-35
0.00025745738433348463,1.2930921304170108e-35
0.0002589444477073001,1.2586509306242253e-35
0.00026044010029864116,1.2252142875715593e-35
0.00026194439171847966,1.1927510940532296e-35
0.0002634573718643367,1.1612312411542434e-35
0.0002649790909219404,1.130625585528268e-35
0.0002665095993668894,1.1009059177619367e-35
0.00026804894796632713,1.0720449317891449e-35
0.0002695971877806266,1.0440161953201997e-35
0.00027115437016508203,1.0167941212519556e-35
0.00027272054677161584,9.903539400259575e-36
0.0002742957695504879,9.646716729031369e-36
0.0002758800907520217,9.397241061241574e-36
0.00027747356292833636,9.154887659259862e-36
0.00027907623893508966,8.919438943860035e-36
0.00028068817193323194,8.690684260659922e-36
0.00028230941539076785,8.468419654293315e-36
0.00028394002308453314,8.252447650054706e-36
0.00028558004910197424,8.042577042768882e-36
0.0002872295478429457,7.838622692642224e-36
0.00028888857402151343,7.640405327864183e-36
0.0002905571826677683,7.447751353733022e-36
0.0002922354291296549,7.260492668087663e-36
0.00029392336907480286,7.078466482836627e-36
0.0002956210584923782,6.901515151378804e-36
0.00029732855369493595,6.7294860017216e-36
0.00029904591132029143,6.562231175104693e-36
0.0003007731883333976,6.399607469947173e-36
0.0003025104420282335,6.241476190940161e-36
0.000304257730029708,6.0877030031131e-36
0.000306015110295567,5.938157790709147e-36
0.00030778264111831907,5.79271452070809e-36
0.0003095603811271677,5.6512511108432676e-36
0.0003113483892899563,5.513649301962173e-36
0.00031314672491512455,5.3797945345864754e-36
0.0003149554476536738,5.2495758295318444e-36
0.00031677461750114947,5.122885672451954e-36
0.00031860429479962655,4.999619902177235e-36
0.0003204445402397148,4.879677602720964e-36
0.00032229541486257003,4.762960998831818e-36
0.0003241569800619193,4.6493753549744786e-36
0.00032602929758609767,4.538828877624583e-36
0.00032791242954009476,4.431232620768056e-36
0.0003298064383876184,4.326500394498005e-36
0.00033171138695316195,4.224548676607113e-36
0.0003336273384240918,4.125296527075235e-36
0.00033555435635274165,4.0286655053568585e-36
0.00033749250465852086,3.9345795903752055e-36
0.0003394418476300351,3.842965103133304e-36
0.0003414024499272171,3.7537506318554e-36
0.000343374376583475,3.666866959574523e-36
0.00034535769300784487,3.582246994085782e-36
0.0003473524649871642,3.499825700186282e-36
0.0003493587586882521,3.419540034126588e-36
0.0003513766406601046,3.3413288802001996e-36
0.0003534061778361024,3.2651329894003725e-36
0.0003554474375362292,3.190894920076022e-36
0.0003575004874693087,3.118558980520254e-36
