freq_Hz,h_c
1.03040155e-04,2.13725243e-19
1.03635311e-04,2.10756935e-19
1.04233904e-04,2.07830774e-19
1.04835955e-04,2.04946157e-19
1.05441483e-04,2.02102491e-19
1.06050509e-04,1.99299192e-19
1.06663052e-04,1.96535683e-19
1.07279134e-04,1.93811396e-19
1.07898774e-04,1.91125771e-19
1.08521992e-04,1.88478255e-19
1.09148811e-04,1.85868304e-19
1.09779250e-04,1.83295382e-19
1.10413331e-04,1.80758960e-19
1.11051074e-04,1.78258516e-19
1.11692500e-04,1.75793538e-19
1.12337631e-04,1.73363518e-19
1.12986489e-04,1.70967957e-19
1.13639094e-04,1.68606363e-19
1.14295469e-04,1.66278251e-19
1.14955635e-04,1.63983144e-19
1.15619614e-04,1.61720569e-19
1.16287428e-04,1.59490062e-19
1.16959100e-04,1.57291165e-19
1.17634651e-04,1.55123427e-19
1.18314104e-04,1.52986403e-19
1.18997481e-04,1.50879654e-19
1.19684806e-04,1.48802749e-19
1.20376100e-04,1.46755260e-19
1.21071388e-04,1.44736768e-19
1.21770691e-04,1.42746858e-19
1.22474034e-04,1.40785124e-19
1.23181439e-04,1.38851162e-19
1.23892930e-04,1.36944576e-19
1.24608530e-04,1.35064974e-19
1.25328264e-04,1.33211973e-19
1.26052155e-04,1.31385191e-19
1.26780227e-04,1.29584255e-19
1.27512505e-04,1.27808795e-19
1.28249012e-04,1.26058448e-19
1.28989773e-04,1.24332856e-19
1.29734812e-04,1.22631664e-19
1.30484155e-04,1.20954525e-19
1.31237827e-04,1.19301095e-19
1.31995851e-04,1.17671035e-19
1.32758254e-04,1.16064013e-19
1.33525060e-04,1.14479698e-19
1.34296295e-04,1.12917767e-19
1.35071985e-04,1.11377901e-19
1.35852155e-04,1.09859784e-19
1.36636832e-04,1.08363106e-19
1.37426041e-04,1.06887561e-19
1.38219808e-04,1.05432847e-19
1.39018160e-04,1.03998667e-19
1.39821123e-04,1.02584727e-19
1.40628724e-04,1.01190740e-19
1.41440990e-04,9.98164187e-20
1.42257947e-04,9.84614841e-20
1.43079624e-04,9.71256590e-20
1.43906046e-04,9.58086706e-20
1.44737241e-04,9.45102501e-20
1.45573238e-04,9.32301324e-20
1.46414063e-04,9.19680563e-20
1.47259744e-04,9.07237642e-20
1.48110311e-04,8.94970025e-20
1.48965790e-04,8.82875207e-20
1.49826210e-04,8.70950724e-20
1.50691600e-04,8.59194145e-20
1.51561989e-04,8.47603072e-20
1.52437405e-04,8.36175143e-20
1.53317877e-04,8.24908031e-20
1.54203435e-04,8.13799441e-20
1.55094107e-04,8.02847110e-20
1.55989925e-04,7.92048807e-20
1.56890916e-04,7.81402336e-20
1.57797112e-04,7.70905529e-20
1.58708541e-04,7.60556250e-20
1.59625235e-04,7.50352395e-20
1.60547224e-04,7.40291889e-20
1.61474539e-04,7.30372684e-20
1.62407209e-04,7.20592767e-20
1.63345266e-04,7.10950148e-20
1.64288742e-04,7.01442869e-20
1.65237667e-04,6.92068999e-20
1.66192073e-04,6.82826635e-20
1.67151992e-04,6.73713899e-20
1.68117455e-04,6.64728943e-20
1.69088494e-04,6.55869944e-20
1.70065143e-04,6.47135104e-20
1.71047432e-04,6.38522652e-20
1.72035395e-04,6.30030843e-20
1.73029064e-04,6.21657954e-20
1.74028473e-04,6.13402290e-20
1.75033655e-04,6.05262179e-20
1.76044642e-04,5.97235971e-20
1.77061469e-04,5.89322043e-20
1.78084168e-04,5.81518792e-20
1.79112775e-04,5.73824641e-20
1.80147323e-04,5.66238032e-20
1.81187847e-04,5.58757432e-20
1.82234381e-04,5.51381328e-20
1.83286959e-04,5.44108232e-20
1.84345617e-04,5.36936673e-20
1.85410390e-04,5.29865203e-20
1.86481313e-04,5.22892395e-20
1.87558421e-04,5.16016842e-20
1.88641751e-04,5.09237158e-20
1.89731338e-04,5.02551974e-20
1.90827219e-04,4.95959944e-20
1.91929429e-04,4.89459739e-20
1.93038005e-04,4.83050050e-20
1.94152985e-04,4.76729587e-20
1.95274405e-04,4.70497077e-20
1.96402302e-04,4.64351266e-20
1.97536713e-04,4.58290918e-20
1.98677677e-04,4.52314816e-20
1.99825232e-04,4.46421757e-20
2.00979414e-04,4.40610559e-20
