freq_Hz,Sn_1_per_Hz,hc_sensitivity
1.5314137645545084e-05,1.530678999164871e-28,4.841593630650555e-17
1.540259148132535e-05,1.4787173615071515e-28,4.772429091734936e-17
1.5491556222861188e-05,1.428519980868824e-28,4.704253139352726e-17
1.5581034821123383e-05,1.3800269478959163e-28,4.6370516418576687e-17
1.567103024412754e-05,1.3331803877612495e-28,4.570810669616958e-17
1.576154547703227e-05,1.2879243910680317e-28,4.505516492123614e-17
1.585258352223847e-05,1.2442049470999144e-28,4.441155575149748e-17
1.594414739948868e-05,1.2019698793383482e-28,4.3777145779408973e-17
1.6036240145967355e-05,1.1611687831697886e-28,4.31518035045019e-17
1.6128864816401697e-05,1.1217529657085992e-28,4.2535399306121115e-17
1.6222024483162762e-05,1.0836753876638704e-28,4.192780541655407e-17
1.6315722236367628e-05,1.0468906071804287e-28,4.132889589454106e-17
1.6409961183981625e-05,1.0113547255873854e-28,4.073854659916745e-17
1.6504744451921705e-05,9.770253349890189e-29,4.015663516412568e-17
1.6600075184159883e-05,9.438614676358262e-29,3.9583040972348505e-17
1.6695956542827627e-05,9.11823547014944e-29,3.901764513100253e-17
1.6792391708320857e-05,8.80873340601701e-29,3.846033044683951e-17
1.6889383879405186e-05,8.509739142159647e-29,3.7910981401901803e-17
1.698693627332231e-05,8.220895879285178e-29,3.736948412957226e-17
1.7085052125896444e-05,7.941858934651461e-29,3.683572639096949e-17
1.7183734691641923e-05,7.672295330572444e-29,3.6309597551677714e-17
1.728298724387093e-05,7.411883396901061e-29,3.5790988558811806e-17
1.7382813074802162e-05,7.160312387012044e-29,3.527979191840859e-17
1.748321549567014e-05,6.917282106826915e-29,3.4775901673141144e-17
1.7584197836834794e-05,6.682502556439233e-29,3.4279213380353664e-17
1.7685763447892244e-05,6.455693583909791e-29,3.3789624090407436e-17
1.77879156977856e-05,6.23658455082121e-29,3.330703232533931e-17
1.7890657974916877e-05,6.024914009190147e-29,3.2831338057823066e-17
1.799399368725946e-05,5.820429389352581e-29,3.2362442690432035e-17
1.8097926262470902e-05,5.622886698449875e-29,3.190024903519944e-17
1.8202459148006914e-05,5.432050229153998e-29,3.144466129346876e-17
1.8307595811235428e-05,5.247692278286152e-29,3.099558503603441e-17
1.8413339739551895e-05,5.069592874990786e-29,3.055292718356409e-17
1.851969444049468e-05,4.897539518142421e-29,3.011659598730327e-17
1.862666344186168e-05,4.7313269226697575e-29,2.9686501010053155e-17
1.8734250291827114e-05,4.5707567744960907e-29,2.9262553107422826e-17
1.8842458559059302e-05,4.4156374938018584e-29,2.8844664409347875e-17
1.8951291832839163e-05,4.2657840063273544e-29,2.843274830187323e-17
1.9060753723179e-05,4.121017522442994e-29,2.802671940919793e-17
1.9170847860942558e-05,3.981165323722014e-29,2.7626493575974287e-17
1.9281577897965186e-05,3.846060556762369e-29,2.7231987849862332e-17
1.939294750717509e-05,3.7155420340103206e-29,2.6843120464332143e-17
1.9504960382715264e-05,3.589454041348491e-29,2.6459810821712145e-17
1.961762024006578e-05,3.4676461522189925e-29,2.6081979476480985e-17
1.973093081616732e-05,3.3499730480586383e-29,2.5709548118796285e-17
1.9844895869544827e-05,3.236294344833176e-29,2.5342439558260996e-17
1.995951918043249e-05,3.12647442546203e-29,2.4980577707919615e-17
2.007480455089886e-05,3.020382277934846e-29,2.4623887568485344e-17
2.0190755804973076e-05,2.9178913389253874e-29,2.427229521279115e-17
2.0307376788771838e-05,2.818879342716633e-29,2.3925727770463362e-17
2.0424671370626698e-05,2.7232281752569304e-29,2.358411341281546e-17
2.0542643441212696e-05,2.6308237331720925e-29,2.3247381337955978e-17
2.0661296913677087e-05,2.541555787566216e-29,2.2915461756111308e-17
2.078063572376947e-05,2.455317852447467e-29,2.2588285875156345e-17
2.0900663829972054e-05,2.3720070576227795e-29,2.2265785886353723e-17
2.102138521363107e-05,2.2915240259089156e-29,2.1947894950295807e-17
2.1142803879088985e-05,2.2137727545135817e-29,2.1634547183047593e-17
2.1264923853816997e-05,2.138660500445283e-29,2.13256776424889e-17
2.1387749188549e-05,2.0660976698143528e-29,2.1021222314850034e-17
2.151128395741558e-05,1.995997710893884e-29,2.072111810144178e-17
2.1635532258079515e-05,1.9282770108119925e-29,2.0425302805573288e-17
2.176049821187138e-05,1.8628547957528956e-29,2.0133715119658594e-17
2.1886185963926394e-05,1.799653034547004e-29,1.984629461250643e-17
2.2012599683322035e-05,1.7385963455351824e-29,1.9562981716791693e-17
2.2139743563216027e-05,1.679611906596196e-29,1.9283717716707047e-17
2.2267621820985787e-05,1.622629368229363e-29,1.900844473578955e-17
2.2396238698367943e-05,1.567580769589317e-29,1.873710572492285e-17
2.2525598461599405e-05,1.5144004573719598e-29,1.8469644450509396e-17
2.265570540155856e-05,1.4630250074553772e-29,1.8206005482813093e-17
2.2786563833907736e-05,1.4133931492016826e-29,1.7946134184467702e-17
2.2918178099236483e-05,1.3654456923296115e-29,1.768997669914952e-17
2.3050552563205235e-05,1.3191254562707104e-29,1.7437479940412862e-17
2.3183691616690494e-05,1.274377201924374e-29,1.7188591580683857e-17
2.331759967593014e-05,1.2311475657307277e-29,1.6943260040412823e-17
2.345228118267007e-05,1.1893849959822558e-29,1.670143447738091e-17
2.358774060431166e-05,1.1490396912982967e-29,1.6463064776159563e-17
2.3723982434059624e-05,1.1100635411890916e-29,1.6228101537721544e-17
2.3861011191071443e-05,1.0724100686380632e-29,1.599649606919919e-17
2.3998831420606867e-05,1.0360343746342163e-29,1.5768200373790415e-17
2.4137447694179078e-05,1.0008930845879965e-29,1.5543167140807667e-17
2.4276864609705936e-05,9.669442965670614e-30,1.5321349735870497e-17
2.4417086791662887e-05,9.341475312897446e-30,1.5102702191236944e-17
2.4558118891236006e-05,9.02463683816918e-30,1.4887179196274456e-17
2.4699965586476436e-05,8.718549768842434e-30,1.4674736088066122e-17
2.4842631582455694e-05,8.422849158192494e-30,1.4465328842151265e-17
2.4986121611421404e-05,8.137182449895063e-30,1.4258914063399148e-17
2.5130440432954662e-05,7.861209057296255e-30,1.4055448977011982e-17
2.5275592834127557e-05,7.59459995697192e-30,1.3854891419657714e-17
2.542158362966211e-05,7.337037296088297e-30,1.3657199830728794e-17
2.5568417662090134e-05,7.088214013096363e-30,1.3462333243725911e-17
2.5716099801913504e-05,6.847833471308043e-30,1.327025127776567e-17
2.5864634947766126e-05,6.615609104914303e-30,1.308091412920849e-17
2.6014028026576e-05,6.391264077025613e-30,1.2894282563407422e-17
2.6164283993729082e-05,6.1745309493234794e-30,1.2710317906573744e-17
2.6315407833233264e-05,5.965151362931519e-30,1.2528982037759898e-17
2.646740455788388e-05,5.7628757301227935e-30,1.2350237380956303e-17
2.6620279209430108e-05,5.56746293649648e-30,1.217404689730124e-17
2.6774036858741866e-05,5.378680053268765e-30,1.2000374077402653e-17
2.6928682605978422e-05,5.1963020593328745e-30,1.18291829337688e-17
2.7084221580757127e-05,5.020111572758595e-30,1.1660437993348146e-17
2.724065894232403e-05,4.8498985914084324e-30,1.1494104290174804e-17
2.73979998797246e-05,4.685460242363049e-30,1.1330147358120159e-17
2.7556249611976015e-05,4.526600539854993e-30,1.1168533223747404e-17
2.771541338824047e-05,4.3731301514225665e-30,1.1009228399268275e-17
2.7875496487998863e-05,4.224866172005161e-30,1.0852199875601032e-17
2.8036504221226397e-05,4.081631905708969e-30,1.0697415115526828e-17
2.8198441928568244e-05,3.943256654984307e-30,1.0544842046944811e-17
2.836131498151716e-05,3.809575516961093e-30,1.039444905622273e-17
2.8525128782591235e-05,3.6804291867010864e-30,1.0246204981643496e-17
2.8689888765513302e-05,3.555663767130568e-30,1.0100079106944758e-17
2.8855600395391326e-05,3.435130585427302e-30,9.956041154950942e-18
2.9022269168899274e-05,3.318686015642877e-30,9.814061281296822e-18
2.9189900614459916e-05,3.206191307347617e-30,9.674110068239984e-18
2.935850029242773e-05,3.0975124200949014e-30,9.536158518562635e-18
2.9528073795273815e-05,2.9925198635058732e-30,9.400178049559707e-18
2.9698626747770974e-05,2.8910885427849804e-30,9.266140487113727e-18
2.987016480718047e-05,2.793097609480875e-30,9.134018059853809e-18
3.0042693663439857e-05,2.6984303173150095e-30,9.003783393398224e-18
3.0216219039351297e-05,2.606973882906093e-30,8.875409504679694e-18
3.039074669077186e-05,2.5186193512233637e-30,8.74886979635115e-18
3.056628240680404e-05,2.4332614656090248e-30,8.624138051272101e-18
3.074283200998794e-05,2.3507985422139117e-30,8.501188427073408e-18
3.092040135649462e-05,2.27113234869683e-30,8.379995450799736e-18
3.1098996336319864e-05,2.194167987043063e-30,8.260534013629055e-18
3.127862287348013e-05,2.1198137803614206e-30,8.142779365666928e-18
3.145928692620846e-05,2.047981163525651e-30,8.026707110815972e-18
3.164099448715268e-05,1.9785845775287203e-30,7.912293201717916e-18
3.182375158357365e-05,1.9115413674247728e-30,7.79951393476867e-18
3.200756427754569e-05,1.846771683736101e-30,7.688345945203984e-18
3.2192438666157245e-05,1.7841983872082215e-30,7.578766202255969e-18
3.237838088171326e-05,1.723746956798774e-30,7.470752004378464e-18
3.256539709193886e-05,1.665345400790636e-30,7.364280974540632e-18
3.2753493500183396e-05,1.608924170923419e-30,7.25933105558826e-18
3.29426763456268e-05,1.5544160794402697e-30,7.155880505670768e-18
3.3132951903486055e-05,1.5017562189516192e-30,7.053907893734159e-18
3.3324326485223535e-05,1.450881885019719e-30,6.953392095078033e-18
3.351680643875656e-05,1.4017325013717777e-30,6.85431228697613e-18
3.371039814866751e-05,1.3542495476525823e-30,6.756647944359793e-18
3.3905108036416105e-05,1.308376489629972e-30,6.660378835562663e-18
3.4100942560551895e-05,1.2640587117703552e-30,6.565485018126697e-18
3.429790821692902e-05,1.2212434521033075e-30,6.471946834667664e-18
3.449601153892112e-05,1.179879739297979e-30,6.37974490880022e-18
3.469525909763864e-05,1.13991833187575e-30,6.28886014112074e-18
3.4895657502146265e-05,1.1013116594870363e-30,6.199273705248055e-18
3.5097213399682365e-05,1.0640137661817928e-30,6.110967043920473e-18
3.5299933475879706e-05,1.0279802556061527e-30,6.0239218651485685e-18
3.550382445498672e-05,9.931682380599408e-31,5.938120138423321e-18
3.570889310009109e-05,9.59536279351534e-31,5.853544090977967e-18
3.5915146213343635e-05,9.270443513894156e-31,5.770176204103751e-18
3.612259063618408e-05,8.95653784451153e-31,5.687999209518058e-18
3.633123324956828e-05,8.653272210729481e-31,5.606996085784439e-18
3.65410809741959e-05,8.360285715048509e-31,5.527150054784119e-18
3.675214077074059e-05,8.077229706781992e-31,5.448444578237531e-18
3.696441964008032e-05,7.803767366342388e-31,5.370863354275963e-18
3.717792462352989e-05,7.539573303640669e-31,5.29439031406196e-18
3.739266280307463e-05,7.284333170120701e-31,5.219009618458037e-18
3.760864130160485e-05,7.037743283966493e-31,5.144705654743276e-18
3.782586728315269e-05,6.799510268032716e-31,5.071463033376458e-18
3.804434795312912e-05,6.5693507000693135e-31,4.999266584805909e-18
3.8264090558563617e-05,6.346990774819804e-31,4.928101356324491e-18
3.848510238834386e-05,6.132165977592994e-31,4.857952608970008e-18
3.870739077345816e-05,5.924620768915776e-31,4.788805814469502e-18
3.8930963087238115e-05,5.724108279893151e-31,4.720646652227577e-18
3.915582674560336e-05,5.530390017910147e-31,4.653461006357569e-18
3.938198920730781e-05,5.343235582325123e-31,4.587234962755135e-18
3.960945797418655e-05,5.162422389815866e-31,4.521954806213915e-18
3.9838240591405245e-05,4.987735409049134e-31,4.4576070175820846e-18
4.0068344647709924e-05,4.818966904358888e-31,4.394178270959881e-18
