freq_Hz,Sn_1_per_Hz,hc_sensitivity
1.2233304104640165e-05,5.887204037435235e-28,8.486457288881539e-17
1.2303963171273082e-05,5.687311633983121e-28,8.365194133317006e-17
1.2375030361799139e-05,5.494207115425306e-28,8.245664307222374e-17
1.2446508033525381e-05,5.307659962698728e-28,8.127843032745572e-17
1.2518398557374464e-05,5.127447485666078e-28,8.011705886237684e-17
1.2590704317963499e-05,4.953354557218582e-28,7.897228793189177e-17
1.2663427713682968e-05,4.785173356410831e-28,7.784388023239224e-17
1.2736571156776364e-05,4.622703120319064e-28,7.673160185255869e-17
1.2810137073420276e-05,4.465749904327485e-28,7.563522222486595e-17
1.2884127903804683e-05,4.314126350556773e-28,7.455451407778578e-17
1.2958546102214112e-05,4.167651464156852e-28,7.348925338866678e-17
1.3033394137108828e-05,4.0261503971985753e-28,7.243921933729428e-17
1.310867449120693e-05,3.8894542399044573e-28,7.140419426010785e-17
1.3184389661566513e-05,3.7573998189708206e-28,7.038396360507894e-17
1.3260542159668585e-05,3.629829502739234e-28,6.937831588722983e-17
1.3337134511500438e-05,3.5065910129851317e-28,6.838704264478856e-17
1.341416925763926e-05,3.3875372430992606e-28,6.740993839597405e-17
1.349164895333662e-05,3.2725260824437694e-28,6.644680059639385e-17
1.3569576168603003e-05,3.161420246674519e-28,6.549742959705638e-17
1.3647953488293283e-05,3.054087113825664e-28,6.45616286029779e-17
1.3726783512192265e-05,2.9503985659620234e-28,6.363920363238623e-17
1.3806068855101006e-05,2.8502308362091713e-28,6.272996347650454e-17
1.3885812146923631e-05,2.7534643609789715e-28,6.183371965990977e-17
1.3966016032754375e-05,2.6599836372144496e-28,6.095028640146107e-17
1.4046683172965538e-05,2.5696770844826618e-28,6.007948057578207e-17
1.412781624329551e-05,2.482436911751941e-28,5.922112167529876e-17
1.4209417934937755e-05,2.3981589886933617e-28,5.837503177281503e-17
1.429149095462987e-05,2.3167427213537603e-28,5.754103548462772e-17
1.437403802474346e-05,2.238090932051063e-28,5.671895993416621e-17
1.4457061883374524e-05,2.1621097433487973e-28,5.590863471615147e-17
1.4540565284434076e-05,2.0887084659715474e-28,5.510989186127064e-17
1.4624550997739726e-05,2.0177994905267864e-28,5.4322565801352044e-17
1.4709021809107347e-05,1.9492981829046351e-28,5.3546493335042584e-17
1.4793980520443575e-05,1.8831227832299287e-28,5.278151359397251e-17
1.4879429949838828e-05,1.8191943082462875e-28,5.202746800940455e-17
1.4965372931660588e-05,1.7574364570157436e-28,5.1284200279361765e-17
1.5051812316647641e-05,1.697775519820847e-28,5.055155633622201e-17
1.5138750972004407e-05,1.6401402901610841e-28,4.9829384314779265e-17
1.5226191781496282e-05,1.5844619797378857e-28,4.9117534520757784e-17
1.5314137645545084e-05,1.5306741363273287e-28,4.8415859399779895e-17
1.540259148132535e-05,1.4787125644419695e-28,4.7724213506775196e-17
1.5491556222861188e-05,1.4285152486872597e-28,4.704245347582672e-17
1.5581034821123383e-05,1.380022279721226e-28,4.6370437990450877e-17
1.567103024412754e-05,1.3331757827285275e-28,4.570802775429844e-17
1.576154547703227e-05,1.2879198483240495e-28,4.505508546227829e-17
1.585258352223847e-05,1.244200465802964e-28,4.4411475772090144e-17
1.594414739948868e-05,1.201965458658086e-28,4.377706527616777e-17
1.6036240145967355e-05,1.161164422287083e-28,4.3151722474020795e-17
1.6128864816401697e-05,1.1217486638153779e-28,4.2535317744972196e-17
1.6222024483162762e-05,1.0836711439629726e-28,4.1927723321287484e-17
1.6315722236367628e-05,1.0468864208854573e-28,4.1328813261684847e-17
1.6409961183981625e-05,1.0113505959225614e-28,4.073846342522741e-17
1.6504744451921705e-05,9.770212611890388e-29,4.0156551445585237e-17
1.6600075184159883e-05,9.4385744894572e-29,3.958295670566854e-17
1.6695956542827627e-05,9.118195826899364e-29,3.901756031262129e-17
1.6792391708320857e-05,8.808694299070734e-29,3.8460245073172457e-17
1.6889383879405186e-05,8.509700564269197e-29,3.7910895469341444e-17
1.698693627332231e-05,8.220857823300451e-29,3.736939763448802e-17
1.7085052125896444e-05,7.941821393518909e-29,3.6835639329707595e-17
1.7183734691641923e-05,7.672258297333766e-29,3.630950992056101e-17
1.728298724387093e-05,7.411846864691922e-29,3.579090035413963e-17
1.7382813074802162e-05,7.160276349060802e-29,3.5279703136456634e-17
1.748321549567014e-05,6.917246556453377e-29,3.477581231016129e-17
1.7584197836834794e-05,6.682467487053414e-29,3.427912343257387e-17
1.7685763447892244e-05,6.455658989010701e-29,3.3789533554031556e-17
1.77879156977856e-05,6.23655042399565e-29,3.330694119654696e-17
1.7890657974916877e-05,6.024880344111531e-29,3.2831246332769473e-17
1.799399368725946e-05,5.820396179779759e-29,3.23623503652479e-17
1.8097926262470902e-05,5.622853938225984e-29,3.190015610599077e-17
1.8202459148006914e-05,5.432017912205324e-29,3.1444567756316706e-17
1.8307595811235428e-05,5.247660398621008e-29,3.099549088699516e-17
1.8413339739551895e-05,5.069561426698406e-29,3.0552832418668675e-17
1.851969444049468e-05,4.8975084953918647e-29,3.0116500602557423e-17
1.862666344186168e-05,4.731296319708837e-29,2.968640500143716e-17
1.8734250291827114e-05,4.5707265856503046e-29,2.926245647089136e-17
1.8842458559059302e-05,4.4156077134733464e-29,2.8844567140829856e-17
1.8951291832839163e-05,4.26575462899386e-29,2.843265039727165e-17
1.9060753723179e-05,4.120988542656845e-29,2.802662086438971e-17
1.9170847860942558e-05,3.981136736109118e-29,2.762639438681011e-17
1.9281577897965186e-05,3.8460323560212176e-29,2.7231888012166488e-17
1.939294750717509e-05,3.7155142149110107e-29,2.684301997390236e-17
1.9504960382715264e-05,3.589426598731759e-29,2.6459709674319434e-17
1.961762024006578e-05,3.46761908099526e-29,2.6081877667869487e-17
1.973093081616732e-05,3.3499463432070723e-29,2.5709445644683094e-17
1.9844895869544827e-05,3.2362680014007614e-29,2.5342336414336004e-17
1.995951918043249e-05,3.126448438562652e-29,2.4980473889845338e-17
2.007480455089886e-05,3.0203566427483903e-29,2.4623783071896768e-17
2.0190755804973076e-05,2.9178660506968477e-29,2.427219003329556e-17
