freq_Hz,h_c_instrument_only,h_c_instrument_plus_confusion
1.96176202e-05,2.60818308e-17,2.60818308e-17
1.97309308e-05,2.57093989e-17,2.57093989e-17
1.98448959e-05,2.53422898e-17,2.53422898e-17
1.99595192e-05,2.49804274e-17,2.49804274e-17
2.00748046e-05,2.46237368e-17,2.46237368e-17
2.01907558e-05,2.42721439e-17,2.42721439e-17
2.03073768e-05,2.39255759e-17,2.39255759e-17
2.04246714e-05,2.35839609e-17,2.35839609e-17
2.05426434e-05,2.32472283e-17,2.32472283e-17
2.06612969e-05,2.29153081e-17,2.29153081e-17
2.07806357e-05,2.25881317e-17,2.25881317e-17
2.09006638e-05,2.22656311e-17,2.22656311e-17
2.10213852e-05,2.19477396e-17,2.19477396e-17
2.11428039e-05,2.16343912e-17,2.16343912e-17
2.12649239e-05,2.13255211e-17,2.13255211e-17
2.13877492e-05,2.10210652e-17,2.10210652e-17
2.15112840e-05,2.07209604e-17,2.07209604e-17
2.16355323e-05,2.04251445e-17,2.04251445e-17
2.17604982e-05,2.01335562e-17,2.01335562e-17
2.18861860e-05,1.98461350e-17,1.98461350e-17
2.20125997e-05,1.95628215e-17,1.95628215e-17
2.21397436e-05,1.92835569e-17,1.92835569e-17
2.22676218e-05,1.90082833e-17,1.90082833e-17
2.23962387e-05,1.87369436e-17,1.87369436e-17
2.25255985e-05,1.84694817e-17,1.84694817e-17
2.26557054e-05,1.82058421e-17,1.82058421e-17
2.27865638e-05,1.79459701e-17,1.79459701e-17
2.29181781e-05,1.76898120e-17,1.76898120e-17
2.30505526e-05,1.74373145e-17,1.74373145e-17
2.31836916e-05,1.71884255e-17,1.71884255e-17
2.33175997e-05,1.69430933e-17,1.69430933e-17
2.34522812e-05,1.67012670e-17,1.67012670e-17
2.35877406e-05,1.64628966e-17,1.64628966e-17
2.37239824e-05,1.62279327e-17,1.62279327e-17
2.38610112e-05,1.59963265e-17,1.59963265e-17
2.39988314e-05,1.57680301e-17,1.57680301e-17
2.41374477e-05,1.55429962e-17,1.55429962e-17
2.42768646e-05,1.53211781e-17,1.53211781e-17
2.44170868e-05,1.51025298e-17,1.51025298e-17
2.45581189e-05,1.48870061e-17,1.48870061e-17
2.46999656e-05,1.46745622e-17,1.46745622e-17
2.48426316e-05,1.44651542e-17,1.44651542e-17
2.49861216e-05,1.42587387e-17,1.42587387e-17
2.51304404e-05,1.40552729e-17,1.40552729e-17
2.52755928e-05,1.38547146e-17,1.38547146e-17
2.54215836e-05,1.36570222e-17,1.36570222e-17
2.55684177e-05,1.34621548e-17,1.34621548e-17
2.57160998e-05,1.32700721e-17,1.32700721e-17
2.58646349e-05,1.30807342e-17,1.30807342e-17
2.60140280e-05,1.28941018e-17,1.28941018e-17
2.61642840e-05,1.27101364e-17,1.27101364e-17
2.63154078e-05,1.25287997e-17,1.25287997e-17
2.64674046e-05,1.23500542e-17,1.23500542e-17
2.66202792e-05,1.21738629e-17,1.21738629e-17
2.67740369e-05,1.20001893e-17,1.20001893e-17
2.69286826e-05,1.18289973e-17,1.18289973e-17
2.70842216e-05,1.16602515e-17,1.16602515e-17
2.72406589e-05,1.14939170e-17,1.14939170e-17
2.73979999e-05,1.13299592e-17,1.13299592e-17
2.75562496e-05,1.11683442e-17,1.11683442e-17
2.77154134e-05,1.10090385e-17,1.10090385e-17
2.78754965e-05,1.08520092e-17,1.08520092e-17
2.80365042e-05,1.06972235e-17,1.06972235e-17
2.81984419e-05,1.05446496e-17,1.05446496e-17
2.83613150e-05,1.03942557e-17,1.03942557e-17
2.85251288e-05,1.02460107e-17,1.02460107e-17
2.86898888e-05,1.00998840e-17,1.00998840e-17
2.88556004e-05,9.95584509e-18,9.95584509e-18
2.90222692e-05,9.81386431e-18,9.81386431e-18
2.91899006e-05,9.67391217e-18,9.67391217e-18
2.93585003e-05,9.53595970e-18,9.53595970e-18
2.95280738e-05,9.39997829e-18,9.39997829e-18
2.96986267e-05,9.26593979e-18,9.26593979e-18
2.98701648e-05,9.13381641e-18,9.13381641e-18
3.00426937e-05,9.00358079e-18,9.00358079e-18
3.02162190e-05,8.87520594e-18,8.87520594e-18
3.03907467e-05,8.74866526e-18,8.74866526e-18
3.05662824e-05,8.62393254e-18,8.62393254e-18
3.07428320e-05,8.50098193e-18,8.50098193e-18
3.09204014e-05,8.37978796e-18,8.37978796e-18
3.10989963e-05,8.26032553e-18,8.26032553e-18
3.12786229e-05,8.14256987e-18,8.14256987e-18
3.14592869e-05,8.02649661e-18,8.02649661e-18
3.16409945e-05,7.91208168e-18,7.91208168e-18
3.18237516e-05,7.79930138e-18,7.79930138e-18
3.20075643e-05,7.68813236e-18,7.68813236e-18
3.21924387e-05,7.57855157e-18,7.57855157e-18
3.23783809e-05,7.47053632e-18,7.47053632e-18
3.25653971e-05,7.36406423e-18,7.36406423e-18
3.27534935e-05,7.25911325e-18,7.25911325e-18
3.29426763e-05,7.15566162e-18,7.15566162e-18
3.31329519e-05,7.05368793e-18,7.05368793e-18
3.33243265e-05,6.95317104e-18,6.95317104e-18
3.35168064e-05,6.85409013e-18,6.85409013e-18
3.37103981e-05,6.75642468e-18,6.75642468e-18
3.39051080e-05,6.66015446e-18,6.66015446e-18
3.41009426e-05,6.56525952e-18,6.56525952e-18
3.42979082e-05,6.47172021e-18,6.47172021e-18
3.44960115e-05,6.37951715e-18,6.37951715e-18
3.46952591e-05,6.28863123e-18,6.28863123e-18
3.48956575e-05,6.19904364e-18,6.19904364e-18
3.50972134e-05,6.11073582e-18,6.11073582e-18
3.52999335e-05,6.02368947e-18,6.02368947e-18
3.55038245e-05,5.93788656e-18,5.93788656e-18
3.57088931e-05,5.85330933e-18,5.85330933e-18
3.59151462e-05,5.76994024e-18,5.76994024e-18
3.61225906e-05,5.68776205e-18,5.68776205e-18
3.63312332e-05,5.60675771e-18,5.60675771e-18
3.65410810e-05,5.52691046e-18,5.52691046e-18
3.67521408e-05,5.44820375e-18,5.44820375e-18
3.69644196e-05,5.37062129e-18,5.37062129e-18
3.71779246e-05,5.29414700e-18,5.29414700e-18
3.73926628e-05,5.21876505e-18,5.21876505e-18
3.76086413e-05,5.14445982e-18,5.14445982e-18
